written_at,indicator,period,value
2025-09-24T12:20:39,EMA,10,62.4724
2025-09-24T12:20:39,EMA,20,62.4294
2025-09-24T12:20:39,EMA,32,62.4162
2025-09-24T12:20:39,EMA,50,62.425
2025-09-24T12:20:39,EMA,100,62.4587
2025-09-24T12:20:39,EMA,200,62.4854
2025-09-24T12:39:11,EMA,10,62.579
2025-09-24T12:39:11,EMA,20,62.5512
2025-09-24T12:39:11,EMA,32,62.5215
2025-09-24T12:39:11,EMA,50,62.4995
2025-09-24T12:39:11,EMA,100,62.4919
2025-09-24T12:39:11,EMA,200,62.4989
2025-09-24T18:58:27,EMA,10,63.4056
2025-09-24T18:58:27,EMA,20,63.3731
2025-09-24T18:58:27,EMA,32,63.3461
2025-09-24T18:58:27,EMA,50,63.31
2025-09-24T18:58:27,EMA,100,63.2401
2025-09-24T18:58:27,EMA,200,63.154
2025-09-24T19:15:43,EMA,10,63.3828
2025-09-24T19:15:43,EMA,20,63.3849
2025-09-24T19:15:43,EMA,32,63.376
2025-09-24T19:15:43,EMA,50,63.3523
2025-09-24T19:15:43,EMA,100,63.2868
2025-09-24T19:15:43,EMA,200,63.1942
2025-09-24T19:50:47,EMA,10,63.373
2025-09-24T19:50:47,EMA,20,63.3656
2025-09-24T19:50:47,EMA,32,63.3621
2025-09-24T19:50:47,EMA,50,63.3559
2025-09-24T19:50:47,EMA,100,63.3206
2025-09-24T19:50:47,EMA,200,63.2394
2025-09-24T20:38:31,EMA,10,63.6023
2025-09-24T20:38:31,EMA,20,63.5833
2025-09-24T20:38:31,EMA,32,63.5524
2025-09-24T20:38:31,EMA,50,63.5148
2025-09-24T20:38:31,EMA,100,63.4438
2025-09-24T20:38:31,EMA,200,63.3429
2025-09-24T20:55:36,EMA,10,63.6019
2025-09-24T20:55:36,EMA,20,63.5991
2025-09-24T20:55:36,EMA,32,63.5852
2025-09-24T20:55:36,EMA,50,63.5579
2025-09-24T20:55:36,EMA,100,63.4893
2025-09-24T20:55:36,EMA,200,63.3836
2025-09-24T21:02:04,EMA,10,63.5836
2025-09-24T21:02:04,EMA,20,63.588
2025-09-24T21:02:04,EMA,32,63.5817
2025-09-24T21:02:04,EMA,50,63.5613
2025-09-24T21:02:04,EMA,100,63.4988
2025-09-24T21:02:04,EMA,200,63.3946
2025-09-24T21:11:29,EMA,10,63.5806
2025-09-24T21:11:29,EMA,20,63.5842
2025-09-24T21:11:29,EMA,32,63.5822
2025-09-24T21:11:29,EMA,50,63.5685
2025-09-24T21:11:29,EMA,100,63.5142
2025-09-24T21:11:29,EMA,200,63.413
2025-09-25T07:26:22,EMA,10,63.4728
2025-09-25T07:26:22,EMA,20,63.4759
2025-09-25T07:26:22,EMA,32,63.4757
2025-09-25T07:26:22,EMA,50,63.4755
2025-09-25T07:26:22,EMA,100,63.4772
2025-09-25T07:26:22,EMA,200,63.4833
2025-09-25T07:27:18,EMA,10,63.4705
2025-09-25T07:27:18,EMA,20,63.4744
2025-09-25T07:27:18,EMA,32,63.4747
2025-09-25T07:27:18,EMA,50,63.4749
2025-09-25T07:27:18,EMA,100,63.4769
2025-09-25T07:27:18,EMA,200,63.4831
2025-09-25T11:00:11,EMA,10,63.3762
2025-09-25T11:00:11,EMA,20,63.3765
2025-09-25T11:00:11,EMA,32,63.3951
2025-09-25T11:00:11,EMA,50,63.42
2025-09-25T11:00:11,EMA,100,63.4511
2025-09-25T11:00:11,EMA,200,63.4647
2025-09-25T11:02:32,EMA,10,63.4104
2025-09-25T11:02:32,EMA,20,63.3958
2025-09-25T11:02:32,EMA,32,63.4046
2025-09-25T11:02:32,EMA,50,63.4235
2025-09-25T11:02:32,EMA,100,63.4511
2025-09-25T11:02:32,EMA,200,63.4643
2025-09-25T11:04:03,EMA,10,63.4261
2025-09-25T11:04:03,EMA,20,63.4055
2025-09-25T11:04:03,EMA,32,63.4103
2025-09-25T11:04:03,EMA,50,63.4264
2025-09-25T11:04:03,EMA,100,63.452
2025-09-25T11:04:03,EMA,200,63.4647
